Federal Holidays;;;;
Source:;https://www.opm.gov/policy-data-oversight/snow-dismissal-procedures/federal-holidays/#url=Overview;;;
;https://www.opm.gov/policy-data-oversight/snow-dismissal-procedures/federal-holidays/#url=2017;;;
;;;;
2017 Holiday Schedule;"[my note: Sun hol observed Mon; Sat hol observed Fri]";;;
;;;;
Holiday;Date;;;
New Year's Day;Monday, January 2*;;;
Martin Luther King Day;Monday, January 16;;;
Presidents' Day;Monday, February 20**;;;
Memorial Day;Monday, May 29;;;
Independence Day;Tuesday, July 4;;;
Labor Day;Monday, September 4;;;
Columbus Day;Monday, October 9;;;
Veterans Day;Friday, November 10***;;;
Thanksgiving Day;Thursday, November 23;;;
Christmas Day;Monday, December 25;;;
;;;;
*January 1, 2017 (the legal public holiday for New Year’s Day), falls on a Sunday. For most Federal employees, Monday, January 2, will be treated as a holiday for pay and leave purposes. (See section 3(a) of Executive order 11582, February 11, 1971.);;;;
;;;;
Note:;;;;
Inauguration Day, January 20, 2017, falls on a Friday. An employee who works in the District of Columbia, Montgomery or Prince George's Counties in Maryland, Arlington or Fairfax Counties in Virginia, or the cities of Alexandria or Fairfax in Virginia, and who is regularly scheduled to perform nonovertime work on Inauguration Day, is entitled to a holiday. (See 5 U.S.C. 6103(c).) There is no in-lieu-of holiday for employees who are not regularly scheduled to work on Inauguration Day./p>;;;;
"** This holiday is designated as ""Washington’s Birthday"" in section 6103(a) of title 5 of the United States Code, which is the law that specifies holidays for Federal employees. Though other institutions such as state and local governments and private businesses may use other names, it is our policy to always refer to holidays by the names designated in the law.";;;;
*** November 11, 2017 (the legal public holiday for Veterans Day), falls on a Saturday. For most Federal employees, Friday, November 10, will be treated as a holiday for pay and leave purposes. (See 5 U.S.C. 6103(b).);;;;