Bank Holidays;;;;;
Source: https://www.federalreserve.gov/aboutthefed/k8.htm;;;;;
;;;;;
K.8 - Holidays Observed by the Federal Reserve System 2017-2021;;;;;
;;;;;
"For holidays falling on Saturday, Federal Reserve Banks and Branches will be open the preceding Friday; however, the Board of Governors will be closed. For holidays falling on Sunday, all Federal Reserve offices will be closed the following Monday.";;;;;
;;;;;
;2017;2018;2019;2020;2021
New Year's Day;January 1**;1-Jan;1-Jan;1-Jan;1-Jan
Martin Luther King Day;16-Jan;15-Jan;21-Jan;20-Jan;18-Jan
Presidents' Day;20-Feb;19-Feb;18-Feb;17-Feb;15-Feb
Memorial Day;29-May;28-May;27-May;25-May;31-May
Independence Day;4-Jul;4-Jul;4-Jul;July 4*;July 4**
Labor Day;4-Sep;3-Sep;2-Sep;7-Sep;6-Sep
Columbus Day;9-Oct;8-Oct;14-Oct;12-Oct;11-Oct
Veterans Day;November 11*;November 11**;11-Nov;11-Nov;11-Nov
Thanksgiving Day;23-Nov;22-Nov;28-Nov;26-Nov;25-Nov
Christmas Day;25-Dec;25-Dec;25-Dec;25-Dec;12/25/21
;;;;;
* Saturday - the Board of Governors is closed on November 10, 2017, July 3, 2020, and December 24, 2021.;;;;;
** Sunday - the Board of Governors is closed on November 12, 2018 and July 5, 2021.;;;;;
The Board of Governors is closed in observance of Inauguration Day on January 20, 2017 and January 20, 2021.;;;;;